k,exact,IAPPA1_q1.75,IAPPA2_q1.75,delta1_bound_component,delta2_bound_component
203,9.457274783489427e-11,9.997990513701887e-08,8.96610160052383e-13,0.01741111377900168,6.714865860329334e-06
204,1.0002264144304312e-10,9.832217779763329e-08,7.072011111520773e-13,0.017369005545590982,6.650562723559134e-06
205,1.0561289541869544e-10,9.674740638318871e-08,5.516476141056759e-13,0.01732718889374648,6.587179922613021e-06
206,1.1134011165282683e-10,9.525258869090721e-08,4.25006885692715e-13,0.017285660510786113,6.524699963685717e-06
207,1.1720073939200403e-10,9.383479143621032e-08,3.2290747924571466e-13,0.017244417136177973,6.463105766916032e-06
208,1.2319108468668235e-10,9.249115200742972e-08,2.414962156512214e-13,0.017203455560493842,6.402380654682572e-06
209,1.2930731956125376e-10,9.121887953637407e-08,1.773895875822503e-13,0.017162772624388173,6.342508340283893e-06
210,1.355454909098979e-10,9.001525536386467e-08,1.2762927178856191e-13,0.017122365217601833,6.283472916988725e-06
211,1.4190152912324331e-10,8.887763297397765e-08,8.964141402069444e-14,0.01708223027798984,6.225258847442504e-06
212,1.4837125645160572e-10,8.780343746547108e-08,6.11993784599485e-14,0.017042364790572483,6.167850953417024e-06
213,1.549503951111544e-10,8.679016462376992e-08,4.038967857577007e-14,0.017002765786609118,6.111234405890541e-06
214,1.61634575139794e-10,8.583537965197321e-08,2.558082932263153e-14,0.016963430342694024,6.055394715446231e-06
215,1.684193420098617e-10,8.493671561465504e-08,1.5394881692901122e-14,0.01692435557987369,6.000317722977355e-06
216,1.7530016400493193e-10,8.409187164377788e-08,8.681420017890309e-15,0.016885538662784975,5.945989590688001e-06
217,1.8227243936812893e-10,8.329861095182761e-08,4.493820200407927e-15,0.016846976798813494,5.892396793378677e-06
218,1.893315032293676e-10,8.25547586933252e-08,2.067583400587246e-15,0.01680866723727175,5.839526110006525e-06
219,1.964726343189e-10,8.185819971216525e-08,8.00574703135183e-16,0.016770607268596412,5.787364615510289e-06
220,2.0369106147444002e-10,8.120687620877536e-08,2.350100788992175e-16,0.01673279422356423,5.735899672890582e-06
221,2.1098196994898947e-10,8.059878535787397e-08,4.104761782526307e-17,0.0166952254725261,5.68511892553639e-06
222,2.183405075263013e-10,8.003197690461745e-08,1.850646522114541e-18,0.016657898424658774,5.635010289789089e-06
223,2.2576179045069092e-10,7.950455076415879e-08,1.0839928670004786e-21,0.016620810527233715,5.585561947735608e-06
224,2.3324090917766463e-10,7.901465464707793e-08,5.233593831662802e-18,0.01658395926490266,5.536762340222713e-06
225,2.407729339515625e-10,7.85604817307703e-08,6.388112799288936e-17,0.016547342158999466,5.488600160084672e-06
226,2.4835292021613977e-10,7.814026839468411e-08,2.896731542500833e-16,0.01651095676685773,5.441064345576886e-06
227,2.5597591386371345e-10,7.775229203526326e-08,8.553242508624588e-16,0.01647480068114387,5.3941440740083765e-06
228,2.6363695632820656e-10,7.739486897456245e-08,1.984852838410758e-15,0.01643887152920514,5.347828755566236e-06
229,2.713310895271223e-10,7.70663524747482e-08,3.946574163505965e-15,0.01640316697243227,5.302108027325494e-06
230,2.7905336065717764e-10,7.676513086906101e-08,7.046715690794512e-15,0.01636768470563634,5.256971747438032e-06
231,2.867988268480287e-10,7.64896258182839e-08,1.1623606818818966e-14,0.016332422456439455,5.212409989494472e-06
232,2.945625596782231e-10,7.623829070032548e-08,1.8042398330972088e-14,0.016297377984678927,5.1684130370531675e-06
233,3.023396495572274e-10,7.600960913917152e-08,2.6690270242898884e-14,0.01626254908182458,5.124971378330663e-06
234,3.101252099770957e-10,7.580209367817739e-08,3.797208972898965e-14,0.01622793357040886,5.082075701048199e-06
235,3.1791438163707027e-10,7.56142846014562e-08,5.230648361870889e-14,0.01619352930346937,5.039716887429037e-06
236,3.257023364441456e-10,7.544474890595622e-08,7.012229256303514e-14,0.016159334164003603,4.997886009341582e-06
237,3.3348428139236656e-10,7.529207942570847e-08,9.185537639589598e-14,0.01612534606443545,4.9565743235834645e-06
238,3.412554623234012e-10,7.515489410865818e-08,1.179457424679211e-13,0.01609156294609327,4.915773267301924e-06
239,3.490111675706851e-10,7.503183544546473e-08,1.488349708219952e-13,0.016057982778699197,4.875474453546014e-06
240,3.567467314892267e-10,7.492157004866473e-08,1.8496391202308455e-13,0.01602460355986939,4.835669666946293e-06
241,3.64457537872951e-10,7.482278837963488e-08,2.2677063525898563e-13,0.01599142331462496,4.7963508595178625e-06
